query_id,baseline_nDCG,cognitive_nDCG,similarity_nDCG,delta,contributing_subsystems,profile,latency_ms
q-001,0.000,0.000,0.000,0.000,,BALANCED,202
q-002,0.000,0.519,0.519,0.519,IMPORTANCE_DECAY,BALANCED,176
q-003,0.000,0.536,0.612,0.536,HEBBIAN_GRAPH|TEMPORAL_CHAIN|IMPORTANCE_DECAY,BALANCED,141
q-004,0.000,0.176,0.176,0.176,HEBBIAN_GRAPH,BALANCED,170
q-005,0.000,0.557,0.557,0.557,,BALANCED,130
q-006,0.000,0.423,0.440,0.423,IMPORTANCE_DECAY,BALANCED,149
q-007,0.270,0.000,0.000,-0.270,,BALANCED,184
q-008,0.000,0.747,0.527,0.747,IMPORTANCE_DECAY,BALANCED,156
q-009,0.000,0.361,0.361,0.361,,DEBUGGING,165
q-010,0.000,0.397,0.397,0.397,TEMPORAL_CHAIN|ENTITY_GRAPH|IMPORTANCE_DECAY,RECALLING,135
q-011,0.000,0.157,0.228,0.157,HEBBIAN_GRAPH|TEMPORAL_CHAIN,RECALLING,134
q-012,0.428,0.702,0.702,0.275,TEMPORAL_CHAIN|ENTITY_GRAPH,CRITICAL,146
q-013,0.775,0.883,0.883,0.108,,CRITICAL,170
q-014,0.092,0.000,0.000,-0.092,,DIVERGENT,188
q-015,0.000,0.000,0.000,0.000,,DIVERGENT,133
q-016,0.000,0.000,0.000,0.000,,THE_EXECUTOR,148
q-017,0.428,0.165,0.165,-0.262,HEBBIAN_GRAPH|TEMPORAL_CHAIN|ENTITY_GRAPH,BALANCED,165
q-018,0.000,0.405,0.405,0.405,TEMPORAL_CHAIN|ENTITY_GRAPH,PARANOID_SENTINEL,140
q-019,0.000,0.000,0.000,0.000,,BALANCED,92
q-020,0.000,0.183,0.183,0.183,IMPORTANCE_DECAY,HYPERFOCUS,168
q-021,0.000,0.000,0.000,0.000,,DIVERGENT,200
q-022,0.000,0.305,0.291,0.305,IMPORTANCE_DECAY,SYSTEMATIZER,173
