query_id,baseline_nDCG,cognitive_nDCG,similarity_nDCG,delta,contributing_subsystems,profile,latency_ms
q-001,0.000,0.000,0.000,0.000,,BALANCED,108
q-002,0.000,0.519,0.519,0.519,IMPORTANCE_DECAY,BALANCED,109
q-003,0.000,0.612,0.612,0.612,HEBBIAN_GRAPH|TEMPORAL_CHAIN,BALANCED,109
q-004,0.000,0.176,0.176,0.176,HEBBIAN_GRAPH,BALANCED,103
q-005,0.000,0.557,0.557,0.557,,BALANCED,95
q-006,0.000,0.440,0.440,0.440,,BALANCED,78
q-007,0.270,0.000,0.000,-0.270,,BALANCED,89
q-008,0.000,0.527,0.527,0.527,,BALANCED,128
q-009,0.000,0.361,0.361,0.361,,DEBUGGING,89
q-010,0.000,0.453,0.397,0.453,TEMPORAL_CHAIN|ENTITY_GRAPH,RECALLING,75
q-011,0.000,0.157,0.228,0.157,HEBBIAN_GRAPH|TEMPORAL_CHAIN,RECALLING,112
q-012,0.428,0.702,0.702,0.275,TEMPORAL_CHAIN|ENTITY_GRAPH,CRITICAL,106
q-013,0.775,0.883,0.883,0.108,,CRITICAL,123
q-014,0.092,0.000,0.000,-0.092,,DIVERGENT,64
q-015,0.000,0.000,0.000,0.000,,DIVERGENT,86
q-016,0.000,0.000,0.000,0.000,,THE_EXECUTOR,118
q-017,0.428,0.165,0.165,-0.262,HEBBIAN_GRAPH|TEMPORAL_CHAIN|ENTITY_GRAPH,BALANCED,142
q-018,0.000,0.405,0.405,0.405,TEMPORAL_CHAIN|ENTITY_GRAPH,PARANOID_SENTINEL,133
q-019,0.000,0.000,0.000,0.000,,BALANCED,101
q-020,0.000,0.793,0.183,0.793,IMPORTANCE_DECAY,HYPERFOCUS,82
q-021,0.000,0.000,0.000,0.000,,DIVERGENT,70
q-022,0.000,0.056,0.291,0.056,,SYSTEMATIZER,167
