query_id,baseline_nDCG,cognitive_nDCG,similarity_nDCG,delta,contributing_subsystems,profile,latency_ms
q-001,0.000,0.000,0.000,0.000,,BALANCED,173
q-002,0.000,0.519,0.519,0.519,IMPORTANCE_DECAY,BALANCED,104
q-003,0.000,0.612,0.612,0.612,HEBBIAN_GRAPH|TEMPORAL_CHAIN,BALANCED,167
q-004,0.000,0.176,0.176,0.176,HEBBIAN_GRAPH,BALANCED,70
q-005,0.000,0.557,0.557,0.557,,BALANCED,90
q-006,0.000,0.346,0.440,0.346,,BALANCED,100
q-007,0.270,0.000,0.000,-0.270,,BALANCED,113
q-008,0.000,0.527,0.527,0.527,,BALANCED,119
q-009,0.000,0.361,0.361,0.361,,DEBUGGING,110
q-010,0.000,0.397,0.397,0.397,TEMPORAL_CHAIN|ENTITY_GRAPH,RECALLING,151
q-011,0.000,0.228,0.228,0.228,HEBBIAN_GRAPH|TEMPORAL_CHAIN,RECALLING,102
q-012,0.428,0.702,0.702,0.275,TEMPORAL_CHAIN|ENTITY_GRAPH,CRITICAL,102
q-013,0.775,0.883,0.883,0.108,,CRITICAL,133
q-014,0.092,0.000,0.000,-0.092,,DIVERGENT,57
q-015,0.000,0.000,0.000,0.000,,DIVERGENT,107
q-016,0.000,0.000,0.000,0.000,,THE_EXECUTOR,146
q-017,0.428,0.165,0.165,-0.262,HEBBIAN_GRAPH|TEMPORAL_CHAIN|ENTITY_GRAPH,BALANCED,92
q-018,0.000,0.405,0.405,0.405,TEMPORAL_CHAIN|ENTITY_GRAPH,PARANOID_SENTINEL,88
q-019,0.000,0.000,0.000,0.000,,BALANCED,88
q-020,0.000,0.000,0.183,0.000,,HYPERFOCUS,66
q-021,0.000,0.000,0.000,0.000,,DIVERGENT,102
q-022,0.000,0.056,0.291,0.056,,SYSTEMATIZER,156
