query_id,baseline_nDCG,cognitive_nDCG,similarity_nDCG,delta,contributing_subsystems,profile,latency_ms
q-001,0.000,0.000,0.000,0.000,,BALANCED,109
q-002,0.000,0.554,0.554,0.554,IMPORTANCE_DECAY,BALANCED,79
q-003,0.000,0.416,0.416,0.416,HEBBIAN_GRAPH|TEMPORAL_CHAIN,BALANCED,87
q-004,0.000,0.286,0.286,0.286,,BALANCED,157
q-005,0.000,0.552,0.552,0.552,,BALANCED,131
q-006,0.000,0.079,0.079,0.079,,BALANCED,155
q-007,0.270,0.000,0.000,-0.270,,BALANCED,99
q-008,0.000,0.774,0.774,0.774,,BALANCED,167
q-009,0.000,0.314,0.314,0.314,,DEBUGGING,165
q-010,0.000,0.285,0.293,0.285,TEMPORAL_CHAIN|ENTITY_GRAPH,RECALLING,158
q-011,0.000,0.140,0.233,0.140,,RECALLING,125
q-012,0.428,0.660,0.660,0.232,TEMPORAL_CHAIN|ENTITY_GRAPH,CRITICAL,80
q-013,0.774,0.919,0.919,0.145,,CRITICAL,90
q-014,0.183,0.165,0.165,-0.018,,DIVERGENT,97
q-015,0.000,0.000,0.000,0.000,,DIVERGENT,178
q-016,0.000,0.000,0.000,0.000,,THE_EXECUTOR,178
q-017,0.428,0.143,0.143,-0.285,HEBBIAN_GRAPH|TEMPORAL_CHAIN|ENTITY_GRAPH,BALANCED,156
q-018,0.000,0.615,0.692,0.615,TEMPORAL_CHAIN|ENTITY_GRAPH,PARANOID_SENTINEL,141
q-019,0.000,0.000,0.000,0.000,,BALANCED,139
